# Generated by scripts/refresh-vocabulary-manifest.py from the authorities below; do not edit.
# authority	/vault/Data/.refresh-20260903/UD-Tools/10ce40cf8a577714e51cf56b443dd4c2c6d55f91/data/feats.json	sha256=44d997b1fd6130a21b0859d0b47c22f0e8e3677975581a5cc71fe828e2101d68
code	feature	value
391	ExtPos	INTJ
392	ExtPos	NOUN
393	ExtPos	NUM
394	ExtPos	PART
395	ExtPos	PRON
396	ExtPos	PROPN
397	ExtPos	SCONJ
398	ExtPos	SYM
399	ExtPos	VERB
400	ExtPos	X
401	Fact	Yes
402	False	Yes
403	Foc	Yes
404	Focus	Yes
405	FocusType	Compl
406	FocusType	Subj
407	FocusType	Verb
408	Foreign	Yes
409	Form	Adn
410	Form	Aux
411	Form	Compl
412	Form	Direct
413	Form	Ecl
414	Form	Emp
415	Form	HPref
416	Form	Indirect
417	Form	Len
418	Form	VF
419	Fragment	Yes
420	Gender	Com
421	Gender	F1
422	Gender	Fem
423	Gender	Hum
424	Gender	Masc
425	Gender	Neut
426	Gender	Nhum
427	Gender[abs]	Com
428	Gender[abs]	Fem
429	Gender[abs]	Masc
430	Gender[abs]	Neut
431	Gender[cs]	Fem
432	Gender[cs]	Masc
433	Gender[cs]	Neut
434	Gender[dat]	Masc
435	Gender[erg]	Fem
436	Gender[erg]	Masc
437	Gender[erg]	Neut
438	Gender[io]	Fem
439	Gender[io]	Masc
440	Gender[io]	Neut
441	Gender[lo]	Fem
442	Gender[lo]	Masc
443	Gender[lo]	Neut
444	Gender[obj]	Com
445	Gender[obj]	Fem
446	Gender[obj]	Masc
447	Gender[po]	Fem
448	Gender[po]	Masc
449	Gender[po]	Neut
450	Gender[pred]	Com
451	Gender[pred]	Fem
452	Gender[pred]	Masc
453	Gender[prep]	Com
454	Gender[prep]	Fem
455	Gender[prep]	Masc
456	Gender[psor]	Fem
457	Gender[psor]	Masc
458	Gender[psor]	Neut
459	Gender[refl]	Fem
460	Gender[refl]	Masc
461	Gender[refl]	Neut
462	Gender[ro]	Fem
463	Gender[ro]	Masc
464	Gender[ro]	Neut
465	Gender[subj]	Com
466	Gender[subj]	Fem
467	Gender[subj]	Masc
468	Gender[subj]	Neut
469	Gnc	Yes
470	HebBinyan	HIFIL
471	HebBinyan	HITPAEL
472	HebBinyan	HUFAL
473	HebBinyan	NIFAL
474	HebBinyan	NITPAEL
475	HebBinyan	PAAL
476	HebBinyan	PIEL
477	HebBinyan	PUAL
478	HebExistential	Yes
479	Hnfc	Yes
480	Hort	Yes
481	Htp	Yes
482	Hum	Yes
483	Human	Yes
484	Hyph	Yes
485	Impersonal	Man
486	Impersonal	Third
487	Imprs	Yes
488	Incorp	Yes
489	InfForm	1
490	InfForm	2
491	InfForm	3
492	InfForm	Dict
493	InfForm	Incp
494	InfStruct	Foc
495	InfStruct	Top
496	InfStruct	Uniq
497	InflClass	Ind
498	InflClass	IndEurA
499	InflClass	IndEurE
500	InflClass	IndEurI
501	InflClass	IndEurO
502	InflClass	IndEurU
503	InflClass	IndEurX
504	InflClass	LatA
505	InflClass	LatAnom
506	InflClass	LatE
507	InflClass	LatI
508	InflClass	LatI2
509	InflClass	LatPron
510	InflClass	LatX
511	InflClass[nominal]	Ind
512	InflClass[nominal]	IndEurA
513	InflClass[nominal]	IndEurI
514	InflClass[nominal]	IndEurO
515	InflClass[nominal]	IndEurU
516	InflClass[nominal]	IndEurX
517	Int	Yes
518	Intens	Yes
519	Intense	Yes
520	Intension	Yes
521	Irr	Yes
522	LangId	Hy
523	Language	Akk
524	Language	Sum
525	Link	Yes
526	LongForm	Yes
527	MaParticle	Yes
528	Middle	Yes
529	Mir	Yes
530	Modal	Abil
531	Modal	Obl
532	Modal	Perm
533	Modal	Poss
534	Modality	Cond
535	Modality	Proh
536	Mood	Adm
537	Mood	App
538	Mood	Ass
539	Mood	Cn1
540	Mood	Cn2
541	Mood	Cnc
542	Mood	Cnd
543	Mood	Cnd2
544	Mood	CndGen
545	Mood	CndGenPot
546	Mood	CndPot
547	Mood	CndSub
548	Mood	Ctm
549	Mood	DeclF
550	Mood	DeclM
551	Mood	Des
552	Mood	DesPot
553	Mood	Dub
554	Mood	Gen
555	Mood	GenNec
556	Mood	GenNecPot
557	Mood	GenPot
558	Mood	GenPotPot
559	Mood	Hrt
560	Mood	ImmF
561	Mood	Imp
562	Mood	ImpF
563	Mood	Ind
564	Mood	Int
565	Mood	IntF
566	Mood	Irr
567	Mood	Jus
568	Mood	Nec
569	Mood	NecPot
570	Mood	NegCndSub
571	Mood	Obl
572	Mood	Opt
573	Mood	Per
574	Mood	Perm
575	Mood	Pot
576	Mood	PotPot
577	Mood	Prc
578	Mood	Prec
579	Mood	Prh
580	Mood	Proh
581	Mood	Prp
582	Mood	Prs
583	Mood	Ptc
584	Mood	Qot
585	Mood	Sbr
586	Mood	Sub
587	Morph	VFin
588	Morph	VInf
589	Morph	VPar
590	Movement	Abl
591	Movement	And
592	Movement	Lat
593	Movement	Ven
594	Mutation	AM
595	Mutation	NM
596	Mutation	SM
597	NCount	Yes
598	NameType	Ast
599	NameType	Cal
600	NameType	Com
601	NameType	Epith
602	NameType	Geo
603	NameType	Giv
604	NameType	God
605	NameType	Hom
606	NameType	Hus
607	NameType	King
608	NameType	Let
609	NameType	Lit
610	NameType	Met
611	NameType	Nat
612	NameType	Oth
613	NameType	Pat
614	NameType	Place
615	NameType	Pro
616	NameType	Prs
617	NameType	Rel
618	NameType	Sur
619	NameType	Zoo
620	NegationType	Contrastive
621	Neutral	Yes
622	Nisba	DeNom
623	Nisba	DePrep
624	Nmzr	Adv
625	Nmzr	Ag
626	Nmzr	Inst
627	Nmzr	Rel
628	Nmzr	Yes
629	Nom	Yes
630	Nominal	Yes
631	Nomzr	Abs
632	Nomzr	Action
633	Nomzr	Ag
634	Nomzr	CCirc
635	Nomzr	Circ
636	Nomzr	Clau
637	Nomzr	DevPass
638	Nomzr	Hab
639	Nomzr	Loc
640	Nomzr	Obj
641	Nomzr	Pa
642	Nomzr	Pas
643	Nomzr	Rel
644	Nomzr	Yes
645	NonFoc	Yes
646	NounBase	Bound
647	NounBase	Free
648	NounBase	Suffixal
649	NounBase	Terminal
650	NounClass	Bantu1
651	NounClass	Bantu10
652	NounClass	Bantu11
653	NounClass	Bantu12
654	NounClass	Bantu13
655	NounClass	Bantu14
656	NounClass	Bantu15
657	NounClass	Bantu16
658	NounClass	Bantu17
659	NounClass	Bantu18
660	NounClass	Bantu19
661	NounClass	Bantu2
662	NounClass	Bantu20
663	NounClass	Bantu22
664	NounClass	Bantu23
665	NounClass	Bantu3
666	NounClass	Bantu4
667	NounClass	Bantu5
668	NounClass	Bantu6
669	NounClass	Bantu7
670	NounClass	Bantu8
671	NounClass	Bantu9
672	NounClass	Loc
673	NounClass	Wol1
674	NounClass	Wol10
675	NounClass	Wol11
676	NounClass	Wol12
677	NounClass	Wol2
678	NounClass	Wol3
679	NounClass	Wol4
680	NounClass	Wol5
681	NounClass	Wol6
682	NounClass	Wol7
683	NounClass	Wol8
684	NounClass	Wol9
685	NounClass[iobj]	Bantu1
686	NounClass[iobj]	Bantu2
687	NounClass[obj]	Bantu1
688	NounClass[obj]	Bantu10
689	NounClass[obj]	Bantu11
690	NounClass[obj]	Bantu12
691	NounClass[obj]	Bantu13
692	NounClass[obj]	Bantu14
693	NounClass[obj]	Bantu15
694	NounClass[obj]	Bantu2
695	NounClass[obj]	Bantu20
696	NounClass[obj]	Bantu22
697	NounClass[obj]	Bantu3
698	NounClass[obj]	Bantu4
699	NounClass[obj]	Bantu5
700	NounClass[obj]	Bantu6
701	NounClass[obj]	Bantu7
702	NounClass[obj]	Bantu8
703	NounClass[obj]	Bantu9
704	NounClass[psed]	Bantu1
705	NounClass[psed]	Bantu10
706	NounClass[psed]	Bantu11
707	NounClass[psed]	Bantu12
708	NounClass[psed]	Bantu13
709	NounClass[psed]	Bantu14
710	NounClass[psed]	Bantu15
711	NounClass[psed]	Bantu2
712	NounClass[psed]	Bantu20
713	NounClass[psed]	Bantu22
714	NounClass[psed]	Bantu3
715	NounClass[psed]	Bantu4
716	NounClass[psed]	Bantu5
717	NounClass[psed]	Bantu6
718	NounClass[psed]	Bantu7
719	NounClass[psed]	Bantu8
720	NounClass[psed]	Bantu9
721	NounClass[psor]	Bantu1
